,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
96,Kigali City,Nyarugenge,Peri urban,23.53764511,110250.4297,Female,10,No,Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,1,Holidays,,No,,No,No
103,Kigali City,Nyarugenge,Peri urban,23.53764511,106704.2656,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
104,Kigali City,Nyarugenge,Peri urban,23.53764511,106704.2656,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
107,Kigali City,Nyarugenge,Peri urban,23.53764511,86293.4375,Female,18,No,Yes and resident in household,No,Secondary 2,Secondary 3,Private,No problem,,Mother,1,Holidays,,Yes,Yes,Yes,No
108,Kigali City,Nyarugenge,Peri urban,23.53764511,86293.4375,Male,16,No,Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Mother,1,Holidays,,Yes,Yes,Yes,No
109,Kigali City,Nyarugenge,Peri urban,23.53764511,86293.4375,Male,12,No,Yes and resident in household,No,Primary 3,Primary 3,Public,Teachers absent,,Mother,1,Poor health,,Yes,Yes,Yes,No
113,Kigali City,Nyarugenge,Peri urban,23.53764511,159358.8281,Female,17,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Father,1,Holidays,,Yes,Yes,Yes,No
114,Kigali City,Nyarugenge,Peri urban,23.53764511,159358.8281,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Father,1,Holidays,,Yes,Yes,Yes,No
115,Kigali City,Nyarugenge,Peri urban,23.53764511,159358.8281,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Father,1,Fear of Punishment,,No,,No,No
118,Kigali City,Nyarugenge,Peri urban,19.43864307,166708.0313,Female,12,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
119,Kigali City,Nyarugenge,Peri urban,19.43864307,166708.0313,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,1,Poor health,,Yes,Yes,Yes,No
120,Kigali City,Nyarugenge,Peri urban,19.43864307,166708.0313,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
124,Kigali City,Nyarugenge,Peri urban,19.43864307,80130.72656,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,7,Financial Reasons,,No,,No,No
125,Kigali City,Nyarugenge,Peri urban,19.43864307,80130.72656,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,1,Other,,,,,No
126,Kigali City,Nyarugenge,Peri urban,19.43864307,80130.72656,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Mother,,,,,,,No
128,Kigali City,Nyarugenge,Peri urban,19.43864307,80130.72656,Female,14,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
131,Kigali City,Nyarugenge,Peri urban,19.43864307,193134.9375,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,Yes
134,Kigali City,Nyarugenge,Peri urban,19.43864307,88175.42969,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
143,Kigali City,Nyarugenge,Peri urban,19.43864307,116403.9219,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Health,No,,No,Yes
144,Kigali City,Nyarugenge,Peri urban,19.43864307,116403.9219,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Other (Specify),Yes,Yes,Yes,Yes
145,Kigali City,Nyarugenge,Peri urban,19.43864307,116403.9219,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Father,2,Poor health,,Yes,Yes,Yes,No
151,Kigali City,Nyarugenge,Peri urban,19.43864307,744455.9375,Male,9,No,Yes but residing in another household,No,Primary 2,Primary 3,Public,No problem,,,,,,,,,No
152,Kigali City,Nyarugenge,Peri urban,19.43864307,744455.9375,Female,6,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Mother,,,,,,,No
156,Kigali City,Nyarugenge,Peri urban,19.43864307,744455.9375,Female,16,No,Yes and resident in household,No,Primary 4,Primary 4,Public,No problem,,Other household members,1,Poor health,,Yes,Yes,Yes,No
160,Kigali City,Nyarugenge,Peri urban,19.43864307,183908.4375,Male,17,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
161,Kigali City,Nyarugenge,Peri urban,19.43864307,183908.4375,Male,17,No,No,No,Primary 3,Not in class,,,,,,,Lack of interest,No,,No,No
162,Kigali City,Nyarugenge,Peri urban,19.43864307,183908.4375,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Mother,1,Poor health,,,,,No
166,Kigali City,Nyarugenge,Peri urban,19.43864307,298556.375,Male,16,"Yes,but residing in onother household",Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Public,No problem,,Mother,3,Poor health,,Yes,Yes,Yes,No
167,Kigali City,Nyarugenge,Peri urban,19.43864307,298556.375,Female,11,No,Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
168,Kigali City,Nyarugenge,Peri urban,19.43864307,298556.375,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Mother,,,,,,,No
175,Kigali City,Nyarugenge,Peri urban,19.20075758,122141.5078,Female,14,No,Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,7000,Mother,3,Other,,Yes,Yes,Yes,No
177,Kigali City,Nyarugenge,Peri urban,19.20075758,58023.13672,Female,12,No,Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Mother,7,Financial Reasons,,Yes,Yes,Yes,No
182,Kigali City,Nyarugenge,Peri urban,19.20075758,107568.6641,Male,17,"Yes,but residing in onother household",Yes but residing in another household,No,Secondary 4,Secondary 5,Free Subsidized,No problem,Missing,,,,,Yes,Yes,Yes,No
190,Kigali City,Nyarugenge,Peri urban,19.20075758,561346.625,Female,8,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
198,Kigali City,Nyarugenge,Peri urban,19.20075758,674301.125,Male,16,"Yes,and residing in the household",No,No,Primary 4,Primary 5,Public,No problem,,Father,1,Poor health,,Yes,Yes,Yes,No
207,Kigali City,Nyarugenge,Peri urban,19.20075758,824653.4375,Female,18,"Yes,but residing in onother household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,Books not available,Missing,,,,,Yes,Yes,Yes,No
208,Kigali City,Nyarugenge,Peri urban,19.20075758,824653.4375,Female,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
209,Kigali City,Nyarugenge,Peri urban,19.20075758,824653.4375,Male,8,"Yes,but residing in onother household",Yes and resident in household,Yes,Pre-primary,Primary 1,Public,No problem,,Mother,,,,,,,No
210,Kigali City,Nyarugenge,Peri urban,19.20075758,824653.4375,Female,10,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 2,Primary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
227,Kigali City,Nyarugenge,Peri urban,26.19638243,250521.9063,Female,15,"Yes,but residing in onother household",Yes and resident in household,No,Post primary 1,Post primary 2,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
228,Kigali City,Nyarugenge,Peri urban,26.19638243,250521.9063,Female,13,"Yes,but residing in onother household",Yes and resident in household,No,"Primary 6,7,8",Post primary 1,Public,No problem,,Mother,7,Holidays,,No,,No,No
229,Kigali City,Nyarugenge,Peri urban,26.19638243,250521.9063,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
239,Kigali City,Nyarugenge,Peri urban,26.19638243,205662.6719,Male,8,"Yes,and residing in the household",Yes but residing in another household,No,Primary 1,Primary 2,Public,No problem,,Father,7,Holidays,,,,,No
240,Kigali City,Nyarugenge,Peri urban,26.19638243,205662.6719,Female,12,No,Yes but residing in another household,No,Primary 4,Primary 5,Public,No problem,,Other household members,7,Holidays,,Yes,Yes,Yes,No
242,Kigali City,Nyarugenge,Peri urban,26.19638243,205662.6719,Male,16,No,Yes but residing in another household,Yes,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
248,Kigali City,Nyarugenge,Peri urban,26.19638243,186128.8125,Female,17,No,Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
251,Kigali City,Nyarugenge,Peri urban,26.19638243,282829.2813,Female,18,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
252,Kigali City,Nyarugenge,Peri urban,26.19638243,282829.2813,Female,15,"Yes,but residing in onother household",No,No,Not in class,Not in class,,,,,,,Other (Specify),No,,No,No
259,Kigali City,Nyarugenge,Peri urban,21.80215054,179789.3438,Female,17,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,7,Dropped out,Lack of interest,Yes,Yes,Yes,No
264,Kigali City,Nyarugenge,Peri urban,21.80215054,265800.4063,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
268,Kigali City,Nyarugenge,Peri urban,21.80215054,212904.0781,Female,6,"Yes,but residing in onother household",Yes but residing in another household,No,,,,,,Other household members,,,,,,,No
274,Kigali City,Nyarugenge,Peri urban,21.80215054,119443.4063,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Other household members,,,,Yes,No,Yes,No
275,Kigali City,Nyarugenge,Peri urban,21.80215054,119443.4063,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
279,Kigali City,Nyarugenge,Peri urban,21.80215054,408548.4688,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
282,Kigali City,Nyarugenge,Peri urban,21.80215054,270460,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Father,7,Dropped out,Lack of interest,Yes,Yes,Yes,Yes
283,Kigali City,Nyarugenge,Peri urban,21.80215054,270460,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Father,1,Family circumstances,,Yes,Yes,Yes,No
284,Kigali City,Nyarugenge,Peri urban,21.80215054,270460,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Father,,,,,,,No
288,Kigali City,Nyarugenge,Peri urban,21.80215054,103254.0313,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
289,Kigali City,Nyarugenge,Peri urban,21.80215054,103254.0313,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
290,Kigali City,Nyarugenge,Peri urban,21.80215054,103254.0313,Male,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
291,Kigali City,Nyarugenge,Peri urban,21.80215054,103254.0313,Female,15,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
298,Kigali City,Nyarugenge,Peri urban,96.55238095,123677.3516,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,2,Family circumstances,,Yes,Yes,Yes,No
299,Kigali City,Nyarugenge,Peri urban,96.55238095,123677.3516,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,2,Family circumstances,,,,,No
304,Kigali City,Nyarugenge,Peri urban,96.55238095,107020.2109,Female,14,No,Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Mother,3,Hunger,,Yes,Yes,Yes,No
308,Kigali City,Nyarugenge,Peri urban,96.55238095,324761.1563,Female,14,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 5,Primary 5,Public,No problem,1000,Other household members,,,,Yes,Yes,Yes,No
311,Kigali City,Nyarugenge,Peri urban,96.55238095,166847.0938,Female,17,No,Yes and resident in household,Yes,Secondary 1,Secondary 2,Private,Mediocre teaching,,Mother,,,,Yes,Yes,Yes,No
312,Kigali City,Nyarugenge,Peri urban,96.55238095,166847.0938,Female,15,No,Yes and resident in household,Yes,Primary 4,Primary 5,Public,Mediocre teaching,,Mother,,,,Yes,Yes,Yes,No
313,Kigali City,Nyarugenge,Peri urban,96.55238095,166847.0938,Male,17,No,Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of family support,No,,No,No
316,Kigali City,Nyarugenge,Peri urban,96.55238095,284035.1875,Female,10,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,Books not available,,Mother,,,,No,,Yes,No
318,Kigali City,Nyarugenge,Peri urban,96.55238095,192279.2344,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,3,Financial Reasons,,Yes,Yes,Yes,No
319,Kigali City,Nyarugenge,Peri urban,96.55238095,192279.2344,Male,7,"Yes,but residing in onother household",Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Mother,2,Financial Reasons,,,,,No
325,Kigali City,Nyarugenge,Peri urban,96.55238095,257783.7813,Male,17,No,Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of family support,No,,No,Missing
331,Kigali City,Nyarugenge,Peri urban,96.55238095,80395.71094,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Free Subsidized,No problem,,Mother,,,,Yes,Yes,Yes,No
332,Kigali City,Nyarugenge,Peri urban,96.55238095,80395.71094,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,,,,,,,No
335,Kigali City,Nyarugenge,Peri urban,25.11666667,226709.3438,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,Mother,,,,,,,No
339,Kigali City,Nyarugenge,Peri urban,25.11666667,184530.2813,Male,17,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 4,Primary 5,Public,No problem,,Both parents,1,Holidays,,Yes,Yes,Yes,No
342,Kigali City,Nyarugenge,Peri urban,25.11666667,672551.25,Female,17,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
343,Kigali City,Nyarugenge,Peri urban,25.11666667,672551.25,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,2,Family circumstances,,No,,No,No
359,Kigali City,Nyarugenge,Peri urban,25.11666667,201063.4375,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Both parents,7,Family circumstances,,No,,No,No
360,Kigali City,Nyarugenge,Peri urban,25.11666667,201063.4375,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Both parents,1,Holidays,,,,,No
361,Kigali City,Nyarugenge,Peri urban,25.11666667,201063.4375,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
364,Kigali City,Nyarugenge,Peri urban,29.12345679,222886.125,Female,18,"Yes,but residing in onother household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,Don't know,,Mother,1,Holidays,,Yes,Yes,Yes,Yes
370,Kigali City,Nyarugenge,Peri urban,29.12345679,113663.8203,Female,17,No,Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Mother,7,Dropped out,Lack of interest,Yes,Yes,Yes,Yes
371,Kigali City,Nyarugenge,Peri urban,29.12345679,113663.8203,Male,13,No,Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,1,Holidays,,No,,No,No
372,Kigali City,Nyarugenge,Peri urban,29.12345679,113663.8203,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,1,Holidays,,,,,No
378,Kigali City,Nyarugenge,Peri urban,29.12345679,237388.7969,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Father,,,,Yes,Yes,No,No
379,Kigali City,Nyarugenge,Peri urban,29.12345679,237388.7969,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Father,,,,,,,No
388,Kigali City,Nyarugenge,Peri urban,29.12345679,199862.75,Female,18,No,Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of family support,Yes,Yes,Yes,Yes
391,Kigali City,Nyarugenge,Peri urban,29.12345679,450629.5,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
392,Kigali City,Nyarugenge,Peri urban,29.12345679,450629.5,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
396,Kigali City,Nyarugenge,Peri urban,29.12345679,564182.0625,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,Mediocre teaching,,Both parents,1,Poor health,,,,,No
398,Kigali City,Nyarugenge,Peri urban,29.12345679,564182.0625,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Public,Mediocre teaching,,Other relatives,,,,Yes,No,No,No
404,Kigali City,Nyarugenge,Urban,21.66239316,187776.3594,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 3,Public,Poor buildings & equipment,,Other household members,7,Holidays,,Yes,Yes,Yes,No
405,Kigali City,Nyarugenge,Urban,21.66239316,187776.3594,Female,10,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 4,Public,Poor buildings & equipment,,Other household members,7,Holidays,,Yes,Yes,Yes,No
410,Kigali City,Nyarugenge,Urban,21.66239316,62465.78516,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,No
411,Kigali City,Nyarugenge,Urban,21.66239316,62465.78516,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,Poor buildings & equipment,,Both parents,7,Holidays,,Yes,Yes,Yes,No
412,Kigali City,Nyarugenge,Urban,21.66239316,62465.78516,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Poor buildings & equipment,,Both parents,7,Holidays,,Yes,Yes,Yes,No
414,Kigali City,Nyarugenge,Urban,21.66239316,62465.78516,Female,14,"Yes,but residing in onother household",Yes but residing in another household,No,"Primary 6,7,8",Secondary 1,Public,No problem,,Other household members,7,Holidays,,Yes,Yes,Yes,No
418,Kigali City,Nyarugenge,Urban,21.66239316,194180.8281,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Private,No problem,,Father,7,Holidays,,Yes,Yes,Yes,No
419,Kigali City,Nyarugenge,Urban,21.66239316,194180.8281,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,Poor buildings & equipment,,Father,7,Holidays,,Yes,Yes,Yes,No
420,Kigali City,Nyarugenge,Urban,21.66239316,194180.8281,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,Poor buildings & equipment,,Father,7,Holidays,,,,,No
424,Kigali City,Nyarugenge,Urban,21.66239316,309339.4688,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
427,Kigali City,Nyarugenge,Urban,21.66239316,122968.5,Female,17,No,Yes and resident in household,Yes,Not in class,Post primary 1,Private,No problem,184300,Other Organization/Association,7,Holidays,,Yes,Yes,Yes,No
428,Kigali City,Nyarugenge,Urban,21.66239316,122968.5,Male,13,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 5,"Primary 6,7,8",Public,No problem,21500,Father,7,Holidays,,Yes,Yes,Yes,No
430,Kigali City,Nyarugenge,Urban,21.66239316,181385.5938,Male,18,No,No,No,Post primary 5,"Post primary 6,7,8",Public,No problem,234750,Other non-relatives,7,Holidays,,Yes,Yes,Yes,No
433,Kigali City,Nyarugenge,Urban,21.66239316,148769.2344,Male,16,"Yes,but residing in onother household",Yes but residing in another household,No,Secondary 1,Secondary 2,Private,No problem,,Other relatives,7,Holidays,,Yes,Yes,Yes,No
435,Kigali City,Nyarugenge,Urban,21.66239316,310502.375,Male,18,No,No,Yes,Secondary 3,Secondary 4,Private,No problem,,Myself,7,Holidays,,Yes,Yes,Yes,No
444,Kigali City,Nyarugenge,Urban,5.341563786,108445.5625,Male,15,No,Yes but residing in another household,No,Primary 3,Primary 4,Public,Books not available,,Other relatives,7,Holidays,,Yes,Yes,Yes,No
447,Kigali City,Nyarugenge,Urban,5.341563786,175621.0938,Male,17,No,Yes and resident in household,Yes,Secondary 1,Secondary 2,Public,No problem,,Other relatives,7,Holidays,,Yes,Yes,Yes,No
